Provider,Product,Version,EOS Date,Reference
Elastic,Elastic Cloud Enterprise,2.1.x,2020-07-29,https://www.elastic.co/support/eol
Elastic,Elastic Cloud Enterprise,2.2.x,2020-10-10,https://www.elastic.co/support/eol
Elastic,Elastic Cloud Enterprise,2.3.x,2021-01-25,https://www.elastic.co/support/eol
Elastic,Elastics Cloud Enterprise,2.0.x,2020-03-25,https://www.elastic.co/support/eol
Elastic,Elasticsearch,6.2.x,2019-08-06,https://www.elastic.co/support/eol
Elastic,Elasticsearch,6.3.X,2019-12-13,https://www.elastic.co/support/eol
Elastic,Elasticsearch,6.4.x,2020-02-23,https://www.elastic.co/support/eol
Elastic,Elasticsearch,6.5.x,2020-05-14,https://www.elastic.co/support/eol
Elastic,Elasticsearch,6.6.x,2020-07-29,https://www.elastic.co/support/eol
Elastic,Elasticsearch,6.7.x,2020-09-26,https://www.elastic.co/support/eol
Elastic,Elasticsearch,7.0.x,2020-10-10,https://www.elastic.co/support/eol
Elastic,Elasticsearch,6.8.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Elasticsearch,7.1.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Elasticsearch,7.2.x,2020-12-25,https://www.elastic.co/support/eol
Elastic,Elasticsearch,7.3.x,2021-01-31,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,6.2.x,2019-08-06,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,6.3.X,2019-12-13,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,6.4.x,2020-02-23,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,6.5.x,2020-05-14,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,6.6.x,2020-07-29,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,6.7.x,2020-09-26,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,7.0.x,2020-10-10,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,6.8.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,7.1.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,7.2.x,2020-12-25,https://www.elastic.co/support/eol
Elastic,Elasticsearch-Hadoop,7.3.x,2021-01-31,https://www.elastic.co/support/eol
Elastic,Kibana,6.2.x,2019-08-06,https://www.elastic.co/support/eol
Elastic,Kibana,6.3.X,2019-12-13,https://www.elastic.co/support/eol
Elastic,Kibana,6.4.x,2020-02-23,https://www.elastic.co/support/eol
Elastic,Kibana,6.5.x,2020-05-14,https://www.elastic.co/support/eol
Elastic,Kibana,6.6.x,2020-07-29,https://www.elastic.co/support/eol
Elastic,Kibana,6.7.x,2020-09-26,https://www.elastic.co/support/eol
Elastic,Kibana,7.0.x,2020-10-10,https://www.elastic.co/support/eol
Elastic,Kibana,6.8.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Kibana,7.1.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Kibana,7.2.x,2020-12-25,https://www.elastic.co/support/eol
Elastic,Kibana,7.3.x,2021-01-31,https://www.elastic.co/support/eol
Elastic,Logstash,6.2.x,2019-08-06,https://www.elastic.co/support/eol
Elastic,Logstash,6.3.X,2019-12-13,https://www.elastic.co/support/eol
Elastic,Logstash,6.4.x,2020-02-23,https://www.elastic.co/support/eol
Elastic,Logstash,6.5.x,2020-05-14,https://www.elastic.co/support/eol
Elastic,Logstash,6.6.x,2020-07-29,https://www.elastic.co/support/eol
Elastic,Logstash,6.7.x,2020-09-26,https://www.elastic.co/support/eol
Elastic,Logstash,7.0.x,2020-10-10,https://www.elastic.co/support/eol
Elastic,Logstash,6.8.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Logstash,7.1.x,2020-11-20,https://www.elastic.co/support/eol
Elastic,Logstash,7.2.x,2020-12-25,https://www.elastic.co/support/eol
Elastic,Logstash,7.3.x,2021-01-31,https://www.elastic.co/support/eol
Femilab,Scientific Linux,6.X,2020-11-30,https://access.redhat.com/discussions/2399461
FileMaker,FileMaker Platform,15.X,2019-09-20,https://www.filemaker.com/support/product-availability.html
FileMaker,FileMaker Platform,16.x,2020-09-18,https://www.filemaker.com/support/product-availability.html
Forcepoint,DLP Cloud Applications,8.6,2021-06-01,https://support.forcepoint.com/productsupportlifecycle
Forcepoint,DLP Discover,8.6,2021-06-01,https://support.forcepoint.com/productsupportlifecycle
Forcepoint,DLP Endpoint,8.6,2021-06-01,https://support.forcepoint.com/productsupportlifecycle
Forcepoint,DLP Network,8.6,2021-06-01,https://support.forcepoint.com/productsupportlifecycle
FreeBSD Foundation,FreeBSD,11.2,2019-10-31,https://www.freebsd.org/security/security.html#sup
IBM,IBM Banking Data Warehouse,8.7.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Banking+Data+Warehouse&ibm-search=Search
IBM,IBM Banking Data Warehouse,8.6.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Banking+Data+Warehouse&ibm-search=Search
IBM,IBM Banking Data Warehouse,8.5.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Banking+Data+Warehouse&ibm-search=Search
IBM,IBM Banking Industry Models,8.7.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Banking+Industry+Models&ibm-search=Search
IBM,IBM Banking Industry Models,8.6.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Banking+Industry+Models&ibm-search=Search
IBM,IBM Banking Industry Models,8.5.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Banking+Industry+Models&ibm-search=Search
IBM,IBM Cloud Manager with Openstack,4.1.0,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Cloud+Manager+with+Openstack&ibm-search=Search
IBM,IBM Cloud Manager with Openstack,4.2.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Cloud+Manager+with+Openstack&ibm-search=Search
IBM,IBM Cloud Manager with Openstack,4.3.0,2020-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Cloud+Manager+with+Openstack&ibm-search=Search
IBM,IBM Concert on Cloud,4.0.x,2021-01-12,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Concert+on+Cloud&ibm-search=Search
IBM,IBM Concert on Cloud,3.0.x,2021-01-13,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Concert+on+Cloud&ibm-search=Search
IBM,IBM Financial Markets Data Warehouse,8.7.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Financial+Markets+Data+Warehouse&ibm-search=Search
IBM,IBM Financial Markets Data Warehouse,8.6.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Financial+Markets+Data+Warehouse&ibm-search=Search
IBM,IBM Financial Markets Data Warehouse,8.5.0,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Financial+Markets+Data+Warehouse&ibm-search=Search
IBM,IBM ILOG Elixir Enterprise,3.5.x,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+Elixir+Enterprise&ibm-search=Search
IBM,IBM ILOG Elixir Enterprise,3.0.0,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+Elixir+Enterprise&ibm-search=Search
IBM,IBM ILOG JViews Enterprise,8.8.x,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+JViews+Enterprise&ibm-search=Search
IBM,IBM ILOG JViews Enterprise,8.7.0,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+JViews+Enterprise&ibm-search=Search
IBM,IBM ILOG JViews Enterprise,8.6.0,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+JViews+Enterprise&ibm-search=Search
IBM,IBM ILOG JViews Maps for Defense,8.8.x,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+JViews+Maps+for+Defense&ibm-search=Search
IBM,IBM ILOG JViews Maps for Defense,8.7.0,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+JViews+Maps+for+Defense&ibm-search=Search
IBM,IBM ILOG JViews Maps for Defense,8.6.0,2020-01-15,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+ILOG+JViews+Maps+for+Defense&ibm-search=Search
IBM,IBM Security QRadar Core Appliance 21xx,7.2.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=IBM+Security+QRadar+Core+Appliance+21xx&ibm-search=Search
